ID                                       0x5e6f
Delivery_person_ID               CHENRES18DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                3.300000
Restaurant_latitude                   12.981615
Restaurant_longitude                  80.231598
Delivery_location_latitude            13.071615
Delivery_location_longitude           80.321598
Order_Date                           02-04-2022
Time_Orderd                               22:10
Time_Order_picked                         22:25
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 4034, dtype: object
