ID                                       0x2c4e
Delivery_person_ID                MYSRES11DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   12.323225
Restaurant_longitude                  76.630028
Delivery_location_latitude            12.403225
Delivery_location_longitude           76.710028
Order_Date                           20-03-2022
Time_Orderd                               17:15
Time_Order_picked                         17:20
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 2778, dtype: object
