ID                                     0x6dd3
Delivery_person_ID             INDORES01DEL02
Delivery_person_Age                 28.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 22.695207
Restaurant_longitude                75.866059
Delivery_location_latitude          22.745207
Delivery_location_longitude         75.916059
Order_Date                         30-03-2022
Time_Orderd                             17:50
Time_Order_picked                       17:55
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 33920, dtype: object
