ID                                      0x3a1b
Delivery_person_ID             COIMBRES04DEL01
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.094839
Delivery_location_longitude          77.077003
Order_Date                          08-03-2022
Time_Orderd                              18:25
Time_Order_picked                        18:35
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     37.000000
Name: 19211, dtype: object
