ID                                    0xc0ca
Delivery_person_ID             GOARES13DEL03
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -15.506205
Restaurant_longitude               73.766668
Delivery_location_latitude         15.536205
Delivery_location_longitude        73.796668
Order_Date                        17-02-2022
Time_Orderd                            23:25
Time_Order_picked                      23:35
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   24.000000
Name: 45241, dtype: object
