ID                                     0xcb0b
Delivery_person_ID             AURGRES18DEL02
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 19.888716
Restaurant_longitude                75.321461
Delivery_location_latitude          19.908716
Delivery_location_longitude         75.341461
Order_Date                         11-02-2022
Time_Orderd                             10:40
Time_Order_picked                       10:45
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 42525, dtype: object
