ID                                       0x55cf
Delivery_person_ID               CHENRES02DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   13.086438
Restaurant_longitude                  80.220672
Delivery_location_latitude            13.126439
Delivery_location_longitude           80.260672
Order_Date                           13-03-2022
Time_Orderd                               12:15
Time_Order_picked                         12:30
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 26414, dtype: object
