ID                                     0x94ab
Delivery_person_ID             INDORES05DEL01
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 22.727021
Restaurant_longitude                75.884167
Delivery_location_latitude          22.797021
Delivery_location_longitude         75.954167
Order_Date                         02-04-2022
Time_Orderd                             17:10
Time_Order_picked                       17:20
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    34.000000
Name: 19370, dtype: object
