ID                                       0x50db
Delivery_person_ID             RANCHIRES12DEL03
Delivery_person_Age                       39.00
Delivery_person_Ratings                    4.30
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           10-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:15
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        2.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          40.00
Name: 10813, dtype: object
