ID                                     0x47a1
Delivery_person_ID             CHENRES04DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.069780
Delivery_location_longitude         80.248812
Order_Date                         09-03-2022
Time_Orderd                             15:30
Time_Order_picked                       15:45
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 44840, dtype: object
