ID                                    0x8dfd
Delivery_person_ID             VADRES20DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                22.311358
Restaurant_longitude               73.164798
Delivery_location_latitude         22.351358
Delivery_location_longitude        73.204798
Order_Date                        30-03-2022
Time_Orderd                            14:15
Time_Order_picked                      14:25
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 38999, dtype: object
