ID                                    0xcd6c
Delivery_person_ID             ALHRES02DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             3.600000
Restaurant_latitude                25.453436
Restaurant_longitude               81.833167
Delivery_location_latitude         25.583436
Delivery_location_longitude        81.963167
Order_Date                        14-02-2022
Time_Orderd                            17:40
Time_Order_picked                      17:55
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   38.000000
Name: 23963, dtype: object
