ID                                     0xd58b
Delivery_person_ID             AURGRES19DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 19.866969
Restaurant_longitude                75.318894
Delivery_location_latitude          19.996969
Delivery_location_longitude         75.448894
Order_Date                         18-02-2022
Time_Orderd                             22:10
Time_Order_picked                       22:20
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 14240, dtype: object
