ID                                      0x918c
Delivery_person_ID             COIMBRES14DEL01
Delivery_person_Age                  25.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.113681
Delivery_location_longitude          77.085525
Order_Date                          08-03-2022
Time_Orderd                              19:25
Time_Order_picked                        19:30
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 9256, dtype: object
