ID                                     0x4cd
Delivery_person_ID             MYSRES11DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -12.323225
Restaurant_longitude              -76.630028
Delivery_location_latitude         12.403225
Delivery_location_longitude        76.710028
Order_Date                        16-03-2022
Time_Orderd                              NaN
Time_Order_picked                      24:10
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   43.000000
Name: 36584, dtype: object
