ID                                     0xbb52
Delivery_person_ID             MUMRES010DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.003517
Restaurant_longitude                72.827650
Delivery_location_latitude          19.043517
Delivery_location_longitude         72.867650
Order_Date                         05-04-2022
Time_Orderd                             12:50
Time_Order_picked                       12:60
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    24.000000
Name: 20283, dtype: object
