ID                                    0xcf0c
Delivery_person_ID             AGRRES09DEL01
Delivery_person_Age                    35.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.07
Delivery_location_longitude             0.07
Order_Date                        14-02-2022
Time_Orderd                            23:55
Time_Order_picked                      24:10
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       21.00
Name: 32626, dtype: object
