ID                                      0x2bbe
Delivery_person_ID             COIMBRES14DEL02
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.053681
Delivery_location_longitude          77.025525
Order_Date                          28-03-2022
Time_Orderd                              21:55
Time_Order_picked                        22:05
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     32.000000
Name: 13961, dtype: object
