ID                                      0x9d5f
Delivery_person_ID             COIMBRES16DEL03
Delivery_person_Age                  34.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.070375
Delivery_location_longitude          77.012950
Order_Date                          13-03-2022
Time_Orderd                              17:30
Time_Order_picked                        17:40
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     28.000000
Name: 35565, dtype: object
