ID                                    0xc27c
Delivery_person_ID             KOLRES11DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.577821
Restaurant_longitude               88.400581
Delivery_location_latitude         22.587821
Delivery_location_longitude        88.410581
Order_Date                        11-02-2022
Time_Orderd                            11:10
Time_Order_picked                      11:15
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 22691, dtype: object
