ID                                    0xc3c0
Delivery_person_ID             KNPRES11DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                26.474986
Restaurant_longitude               80.342796
Delivery_location_latitude         26.494986
Delivery_location_longitude        80.362796
Order_Date                        13-02-2022
Time_Orderd                            11:45
Time_Order_picked                      11:50
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 37900, dtype: object
