ID                                       0xd8e6
Delivery_person_ID                KNPRES02DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   26.471617
Restaurant_longitude                  80.313564
Delivery_location_latitude            26.541617
Delivery_location_longitude           80.383564
Order_Date                           16-02-2022
Time_Orderd                               22:20
Time_Order_picked                         22:35
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 40144, dtype: object
