ID                                    0x9efb
Delivery_person_ID             JAPRES15DEL03
Delivery_person_Age                26.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                26.891191
Restaurant_longitude               75.802083
Delivery_location_latitude         26.981191
Delivery_location_longitude        75.892083
Order_Date                        02-03-2022
Time_Orderd                            23:25
Time_Order_picked                      23:30
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   14.000000
Name: 3836, dtype: object
