ID                                     0xf7e
Delivery_person_ID             SURRES04DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                21.173493
Restaurant_longitude               72.801953
Delivery_location_latitude         21.243493
Delivery_location_longitude        72.871953
Order_Date                        08-03-2022
Time_Orderd                            17:55
Time_Order_picked                      17:60
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 24828, dtype: object
