ID                                    0xcedb
Delivery_person_ID             GOARES15DEL02
Delivery_person_Age                 31.00000
Delivery_person_Ratings              4.60000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.59315
Delivery_location_longitude         73.86346
Order_Date                        12-02-2022
Time_Orderd                            17:30
Time_Order_picked                      17:40
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    30.00000
Name: 41071, dtype: object
