ID                                         0x4bf
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                          NaN
Delivery_person_Ratings                      NaN
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.364422
Delivery_location_longitude            85.342900
Order_Date                            01-04-2022
Time_Orderd                                  NaN
Time_Order_picked                           8:55
Weather conditions                           NaN
Road_traffic_density                         NaN
Vehicle_condition                              3
Type_of_order                               Meal
Type_of_vehicle                          scooter
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       25.000000
Name: 37874, dtype: object
