ID                                     0x6bc8
Delivery_person_ID             INDORES12DEL03
Delivery_person_Age                  32.00000
Delivery_person_Ratings               3.90000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.83806
Delivery_location_longitude          75.98340
Order_Date                         04-03-2022
Time_Orderd                             20:55
Time_Order_picked                       20:60
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                   0.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     32.00000
Name: 22901, dtype: object
