ID                                       0xbf7b
Delivery_person_ID                KNPRES13DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   26.481547
Restaurant_longitude                  80.299775
Delivery_location_latitude            26.541547
Delivery_location_longitude           80.359775
Order_Date                           15-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 28151, dtype: object
