ID                                       0xa5bf
Delivery_person_ID                HYDRES19DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   17.458998
Restaurant_longitude                  78.500366
Delivery_location_latitude            17.568998
Delivery_location_longitude           78.610366
Order_Date                           14-03-2022
Time_Orderd                               22:40
Time_Order_picked                         22:45
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 29314, dtype: object
