ID                                     0x2ef5
Delivery_person_ID             BANGRES04DEL02
Delivery_person_Age                 38.000000
Delivery_person_Ratings              3.900000
Restaurant_latitude                 12.980410
Restaurant_longitude                77.640489
Delivery_location_latitude          13.060410
Delivery_location_longitude         77.720489
Order_Date                         04-04-2022
Time_Orderd                             23:15
Time_Order_picked                       23:30
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 24154, dtype: object
