ID                                      0xd920
Delivery_person_ID             AURGRES010DEL01
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  19.875337
Restaurant_longitude                 75.316722
Delivery_location_latitude           19.985337
Delivery_location_longitude          75.426722
Order_Date                          18-02-2022
Time_Orderd                              17:20
Time_Order_picked                        17:25
Weather conditions                         Fog
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     47.000000
Name: 5207, dtype: object
