ID                                       0xd6f4
Delivery_person_ID                BHPRES17DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   23.218998
Restaurant_longitude                  77.373573
Delivery_location_latitude            23.298998
Delivery_location_longitude           77.453573
Order_Date                           16-02-2022
Time_Orderd                               19:25
Time_Order_picked                         19:40
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      20.000000
Name: 43695, dtype: object
