ID                                     0xd2d8
Delivery_person_ID             AURGRES09DEL02
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.874103
Restaurant_longitude                75.368419
Delivery_location_latitude          20.004103
Delivery_location_longitude         75.498419
Order_Date                         14-02-2022
Time_Orderd                             20:35
Time_Order_picked                       20:40
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    25.000000
Name: 22494, dtype: object
