ID                                    0xd25b
Delivery_person_ID             KOCRES04DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                 9.966783
Restaurant_longitude               76.242981
Delivery_location_latitude         10.026783
Delivery_location_longitude        76.302981
Order_Date                        13-02-2022
Time_Orderd                            17:50
Time_Order_picked                      18:05
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 41559, dtype: object
