ID                                       0x4abf
Delivery_person_ID             RANCHIRES15DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.479746
Delivery_location_longitude           85.449820
Order_Date                           06-04-2022
Time_Orderd                               22:35
Time_Order_picked                         22:40
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 41144, dtype: object
