ID                                      0x9a0b
Delivery_person_ID             COIMBRES17DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.056117
Delivery_location_longitude          76.974652
Order_Date                          30-03-2022
Time_Orderd                              22:20
Time_Order_picked                        22:35
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     28.000000
Name: 26227, dtype: object
