ID                                       0xcc46
Delivery_person_ID               LUDHRES20DEL01
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   30.885915
Restaurant_longitude                  75.788259
Delivery_location_latitude            30.955915
Delivery_location_longitude           75.858259
Order_Date                           12-02-2022
Time_Orderd                               23:10
Time_Order_picked                         23:15
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      24.000000
Name: 3461, dtype: object
