ID                                       0xc7de
Delivery_person_ID                ALHRES15DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   25.449872
Restaurant_longitude                  81.836167
Delivery_location_latitude            25.529872
Delivery_location_longitude           81.916167
Order_Date                           16-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         18:20
Weather conditions                          NaN
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 36684, dtype: object
