ID                                    0x85cb
Delivery_person_ID             JAPRES17DEL03
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                26.892312
Restaurant_longitude               75.806896
Delivery_location_latitude         27.032312
Delivery_location_longitude        75.946896
Order_Date                        25-03-2022
Time_Orderd                            19:50
Time_Order_picked                      19:55
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   33.000000
Name: 6003, dtype: object
