ID                                       0xd90c
Delivery_person_ID                AGRRES17DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   27.157772
Restaurant_longitude                  78.047250
Delivery_location_latitude            27.287772
Delivery_location_longitude           78.177250
Order_Date                           18-02-2022
Time_Orderd                               22:20
Time_Order_picked                         22:25
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 15888, dtype: object
