ID                                       0x20ec
Delivery_person_ID               BANGRES19DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   12.914264
Restaurant_longitude                  77.678400
Delivery_location_latitude            12.994264
Delivery_location_longitude           77.758400
Order_Date                           23-03-2022
Time_Orderd                               23:10
Time_Order_picked                         23:15
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 22863, dtype: object
