ID                                    0x9fd1
Delivery_person_ID             SURRES20DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                21.152760
Restaurant_longitude               72.778059
Delivery_location_latitude         21.192760
Delivery_location_longitude        72.818059
Order_Date                        28-03-2022
Time_Orderd                            13:50
Time_Order_picked                      13:60
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 33278, dtype: object
