ID                                       0xaaaa
Delivery_person_ID                MUMRES18DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                3.600000
Restaurant_latitude                   19.109300
Restaurant_longitude                  72.825451
Delivery_location_latitude            19.239300
Delivery_location_longitude           72.955451
Order_Date                           16-03-2022
Time_Orderd                               23:30
Time_Order_picked                         23:35
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 4636, dtype: object
