ID                                    0xc06a
Delivery_person_ID             DEHRES12DEL02
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                    -0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.05
Delivery_location_longitude             0.05
Order_Date                        13-02-2022
Time_Orderd                            23:10
Time_Order_picked                      23:20
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                                     NaN
Time_taken (min)                       18.00
Name: 11100, dtype: object
