ID                                       0x484c
Delivery_person_ID               PUNERES05DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   18.543626
Restaurant_longitude                  73.905101
Delivery_location_latitude            18.653626
Delivery_location_longitude           74.015101
Order_Date                           31-03-2022
Time_Orderd                               21:55
Time_Order_picked                         22:05
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 41180, dtype: object
