ID                                        0xabe5
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    22.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.444422
Delivery_location_longitude            85.422900
Order_Date                            02-04-2022
Time_Orderd                                19:30
Time_Order_picked                          19:40
Weather conditions                           Fog
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                             Drinks
Type_of_vehicle                          scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       37.000000
Name: 35862, dtype: object
