ID                                       0xbb29
Delivery_person_ID                MUMRES11DEL03
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   18.994237
Restaurant_longitude                  72.825553
Delivery_location_latitude            19.054237
Delivery_location_longitude           72.885553
Order_Date                           09-03-2022
Time_Orderd                               23:10
Time_Order_picked                         23:25
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 26800, dtype: object
