ID                                      0x33bc
Delivery_person_ID             COIMBRES14DEL03
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.093681
Delivery_location_longitude          77.065525
Order_Date                          18-03-2022
Time_Orderd                              17:20
Time_Order_picked                        17:30
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     32.000000
Name: 17175, dtype: object
