ID                                       0xbca7
Delivery_person_ID                SURRES16DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   21.160437
Restaurant_longitude                  72.774209
Delivery_location_latitude            21.250437
Delivery_location_longitude           72.864209
Order_Date                           16-03-2022
Time_Orderd                               22:25
Time_Order_picked                         22:35
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 44914, dtype: object
