ID                                    0xab88
Delivery_person_ID             VADRES11DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                22.308096
Restaurant_longitude               73.167753
Delivery_location_latitude         22.438096
Delivery_location_longitude        73.297753
Order_Date                        27-03-2022
Time_Orderd                            19:30
Time_Order_picked                      19:40
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 1225, dtype: object
