ID                                    0xdd7e
Delivery_person_ID             ALHRES18DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                25.450317
Restaurant_longitude               81.831681
Delivery_location_latitude         25.580317
Delivery_location_longitude        81.961681
Order_Date                        18-02-2022
Time_Orderd                            23:50
Time_Order_picked                      24:05
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   33.000000
Name: 15626, dtype: object
