ID                                       0x5dc4
Delivery_person_ID             RANCHIRES20DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.479250
Delivery_location_longitude           85.470464
Order_Date                           08-03-2022
Time_Orderd                               17:20
Time_Order_picked                         17:30
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 37380, dtype: object
