ID                                      0xbb3
Delivery_person_ID             CHENRES15DEL03
Delivery_person_Age                 15.000000
Delivery_person_Ratings              1.000000
Restaurant_latitude                 13.026286
Restaurant_longitude                80.275235
Delivery_location_latitude          13.116286
Delivery_location_longitude         80.365235
Order_Date                         20-03-2022
Time_Orderd                               NaN
Time_Order_picked                       22:50
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 33283, dtype: object
