ID                                        0xe13
Delivery_person_ID               INDORES08DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   22.725748
Restaurant_longitude                  75.898497
Delivery_location_latitude            22.815748
Delivery_location_longitude           75.988497
Order_Date                           08-03-2022
Time_Orderd                               23:60
Time_Order_picked                         24:15
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 1091, dtype: object
