ID                                       0xcc1f
Delivery_person_ID                ALHRES08DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   25.450329
Restaurant_longitude                  81.834279
Delivery_location_latitude            25.530329
Delivery_location_longitude           81.914279
Order_Date                           16-02-2022
Time_Orderd                               19:35
Time_Order_picked                         19:40
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 26463, dtype: object
