ID                                    0xc3b2
Delivery_person_ID             GOARES15DEL02
Delivery_person_Age                 37.00000
Delivery_person_Ratings              5.00000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.53315
Delivery_location_longitude         73.80346
Order_Date                        13-02-2022
Time_Orderd                            11:15
Time_Order_picked                      11:20
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    31.00000
Name: 13562, dtype: object
