ID                                     0xdeda
Delivery_person_ID             LUDHRES11DEL02
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.973081
Delivery_location_longitude         75.901495
Order_Date                         14-02-2022
Time_Orderd                             18:30
Time_Order_picked                       18:40
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 28969, dtype: object
