ID                                    0xc0fb
Delivery_person_ID             KOLRES02DEL01
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -22.514585
Restaurant_longitude               88.393310
Delivery_location_latitude         22.554585
Delivery_location_longitude        88.433310
Order_Date                        15-02-2022
Time_Orderd                            16:15
Time_Order_picked                      16:25
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 43221, dtype: object
