ID                                     0xda0d
Delivery_person_ID             AURGRES20DEL01
Delivery_person_Age                     33.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         11-02-2022
Time_Orderd                             15:30
Time_Order_picked                       15:40
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        21.00
Name: 21384, dtype: object
