ID                                       0x79df
Delivery_person_ID             RANCHIRES04DEL03
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   23.359033
Restaurant_longitude                  85.325347
Delivery_location_latitude            23.389033
Delivery_location_longitude           85.355347
Order_Date                           15-03-2022
Time_Orderd                               19:15
Time_Order_picked                         19:25
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                    Yes
City                                 Semi-Urban
Time_taken (min)                      46.000000
Name: 15508, dtype: object
