ID                                     0xbf96
Delivery_person_ID             AURGRES13DEL03
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 19.880256
Restaurant_longitude                75.323503
Delivery_location_latitude          19.970256
Delivery_location_longitude         75.413503
Order_Date                         16-02-2022
Time_Orderd                               NaN
Time_Order_picked                       24:05
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 12789, dtype: object
