ID                                    0xcf41
Delivery_person_ID             KOLRES15DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                22.552672
Restaurant_longitude               88.352885
Delivery_location_latitude         22.592672
Delivery_location_longitude        88.392885
Order_Date                        15-02-2022
Time_Orderd                            13:10
Time_Order_picked                      13:25
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   10.000000
Name: 5717, dtype: object
