ID                                       0x610d
Delivery_person_ID               INDORES13DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.745049
Restaurant_longitude                  75.892471
Delivery_location_latitude            22.855049
Delivery_location_longitude           76.002471
Order_Date                           02-03-2022
Time_Orderd                               21:60
Time_Order_picked                         22:15
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      14.000000
Name: 13667, dtype: object
