ID                                    0xbf1e
Delivery_person_ID             GOARES03DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                15.574828
Restaurant_longitude               73.766883
Delivery_location_latitude         15.664828
Delivery_location_longitude        73.856883
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      24:05
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   17.000000
Name: 44676, dtype: object
